  EVENTID,AUTHOR,DATE,TIME,LAT,LON,DEPTH,DEPFIX,AUTHOR,TYPE,MAG
606493194,ISC      ,1/5/2015,15:15.2,2.9218,122.9745,491,      ,ISC      ,mb    ,4.7
611402844,DJA      ,1/5/2015,10:38.7,-0.56,100.5,10,      ,DJA      ,MLv   ,3.4
606493198,ISC      ,1/5/2015,14:51.9,-6.58,129.9212,184,TRUE  ,ISC      ,mb    ,4.8
606930900,ISC      ,1/5/2015,14:21.5,-0.0525,123.4561,139.9,      ,ISC      ,mb    ,4.2
606930901,ISC      ,1/5/2015,33:56.4,-7.8094,128.4602,150,TRUE  ,ISC      ,mb    ,3.6
606930902,ISC      ,1/5/2015,10:10.1,-7.224,130.2542,100,TRUE  ,ISC      ,mb    ,4.5
606930913,ISC      ,1/5/2015,01:14.0,3.997,126.5443,45,TRUE  ,ISC      ,mb    ,4.2
611402843,DJA      ,1/5/2015,27:05.4,-8.47,111.92,77,      ,DJA      ,MLv   ,3.6
611402842,DJA      ,1/5/2015,04:07.5,0.56,121.64,62,      ,DJA      ,MLv   ,2.3
606930920,ISC      ,1/5/2015,47:43.9,-2.2674,139.7637,35,TRUE  ,ISC      ,mb    ,4.3
611019497,MAN      ,1/5/2015,44:20.9,5.983,126.911,69,      ,MAN      ,MS    ,3
606930923,IDC      ,1/5/2015,33:19.1,-7.2228,120.0006,413.8,      ,IDC      ,mb    ,3.3
606930925,ISC      ,1/5/2015,10:06.3,-6.5505,130.8783,150,TRUE  ,IDC      ,mb    ,3.3
606505079,ISC      ,1/5/2015,21:43.7,-3.5082,131.1762,30,TRUE  ,ISC      ,mb    ,4.2
606501844,ISC      ,1/5/2015,13:17.8,-3.5301,131.2099,30,TRUE  ,ISC      ,mb    ,4.4
606930941,ISC      ,1/5/2015,33:11.6,-3.3658,132.2795,35,TRUE  ,ISC      ,mb    ,3.7
611402841,DJA      ,1/5/2015,12:32.4,-0.19,122.77,10,      ,DJA      ,MLv   ,3
606930950,ISC      ,1/5/2015,40:55.1,-3.6034,131.164,30,TRUE  ,ISC      ,mb    ,4.1
606930951,ISC      ,1/5/2015,50:59.1,-3.2474,99.5045,35,TRUE  ,ISC      ,mb    ,4
611402840,DJA      ,1/5/2015,59:14.6,-8.88,110.39,53,      ,DJA      ,MLv   ,3.5
611402855,DJA      ,1/6/2015,28:43.8,-1.13,120.77,10,      ,DJA      ,MLv   ,3.8
606501865,ISC      ,1/6/2015,50:26.2,2.9895,124.3491,350,TRUE  ,ISC      ,mb    ,4.2
611402854,DJA      ,1/6/2015,39:27.4,0.52,121.33,29,      ,DJA      ,MLv   ,2.8
606930974,ISC      ,1/6/2015,45:56.5,5.3001,127.5908,100,TRUE  ,ISC      ,mb    ,4.1
606930977,ISC      ,1/6/2015,04:55.0,-6.866,129.6997,200,TRUE  ,ISC      ,mb    ,3.8
606930978,ISC      ,1/6/2015,24:12.1,-2.1596,125.6425,32,TRUE  ,ISC      ,mb    ,4
606930986,ISC      ,1/6/2015,39:50.1,-8.362,119.6199,163.8,      ,ISC      ,mb    ,3.9
606930995,ISC      ,1/6/2015,40:11.4,-4.5171,104.3683,250,TRUE  ,ISC      ,mb    ,3.4
606930997,ISC      ,1/6/2015,51:04.3,-6.3223,131.712,100,TRUE  ,ISC      ,mb    ,3.6
606930998,ISC      ,1/6/2015,57:05.9,2.1181,128.4917,250,TRUE  ,ISC      ,mb    ,4.1
606503216,ISC      ,1/6/2015,34:34.3,-6.7249,129.8125,168,TRUE  ,ISC      ,mb    ,4.6
606931002,ISC      ,1/6/2015,49:52.8,1.6534,99.4029,166,TRUE  ,ISC      ,mb    ,3.7
606931005,ISC      ,1/6/2015,04:38.4,-10.681,120.4609,31,TRUE  ,ISC      ,mb    ,4.1
606931006,ISC      ,1/6/2015,24:27.3,-9.8709,121.7286,35,TRUE  ,ISC      ,mb    ,3.8
606931007,ISC      ,1/6/2015,38:57.4,-10.4376,121.0327,35,TRUE  ,ISC      ,mb    ,4.1
606931010,IDC      ,1/6/2015,43:28.5,-7.1345,129.6838,147,      ,IDC      ,mb    ,2.9
