DATA_TYPE EVENT_CATALOGUE
ISC Bulletin
--EVENT--|--------------------ORIGIN (PRIME HYPOCENTRE)-------------------|------MAGNITUDES-----...
  EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG 
 16957834,ISC      ,1905-01-22,02:43:58.14,  0.5723, 122.8165, 90.0,TRUE  ,PAS      ,MS    , 7.8,ABE1     ,mB    , 7.8,GUTE     ,UK    , 7.8,B&D      ,UK    , 8.4
 16957943,ISC      ,1907-01-04,05:19:11.80,  1.8725,  94.2091, 15.0,TRUE  ,ISC      ,MS    , 7.8,PAS      ,MS    , 7.6,ABE1     ,mB    , 7.4,AN2      ,Ms    , 7.5,P&S      ,Mw    , 7.5,GUTE     ,UK    , 7.6,B&D      ,UK    , 7.8
   914258,GUTE     ,1907-03-29,20:46:30   ,  3.0000, 122.0000,500.0,      ,PAS      ,MS    , 7.2,ABE1     ,mB    , 7.2,GUTE     ,UK    , 7.2,B&D      ,UK    , 7.2
 16957964,ISC      ,1907-06-25,17:54:40.28,  1.3426, 127.2325,200.0,TRUE  ,PAS      ,MS    , 7.5,ABE1     ,mB    , 7.5,GUTE     ,UK    , 7.5,B&D      ,UK    , 7.9
   914226,GUTE     ,1909-04-25,22:36:00   ,  4.0000, 127.0000,100.0,      ,PAS      ,MS    , 7.0,ABE1     ,mB    , 7.1,GUTE     ,UK    , 7.0,B&D      ,UK    , 7.0
   914229,GUTE     ,1909-05-30,21:01:18   , -8.0000, 131.0000,100.0,      ,PAS      ,MS    , 7.2,ABE1     ,mB    , 7.1,GUTE     ,UK    , 7.2,B&D      ,UK    , 7.2
   914230,GUTE     ,1909-06-03,18:40:48   , -2.0000, 101.0000, 35.0,TRUE  ,PAS      ,MS    , 7.6,ABE1     ,mB    , 7.4,P&S      ,Ms    , 7.2,AN2      ,Ms    , 7.3,P&S      ,Mw    , 7.2,GUTE     ,UK    , 7.6
   914240,GUTE     ,1909-10-30,10:17:30   , -6.0000, 131.0000,250.0,      ,PAS      ,MS    , 6.9,GUTE     ,UK    , 6.7
 16958127,ISC      ,1910-12-16,14:44:55.88,  4.6847, 126.0507, 15.0,TRUE  ,ISC      ,MS    , 7.6,PAS      ,MS    , 7.5,ABE1     ,mB    , 7.4,AN2      ,Ms    , 7.6,P&S      ,Mw    , 7.6,B&D      ,UK    , 7.2,GUTE     ,UK    , 7.5
   914153,GUTE     ,1911-03-06,17:30:00   ,  6.0000, 126.0000,100.0,      ,PAS      ,MS    , 6.8,BJI      ,Ms    , 6.8,GUTE     ,UK    , 6.6
   914166,GUTE     ,1911-07-05,18:40:06   , -7.5000, 117.5000,370.0,      ,PAS      ,MS    , 7.0,ABE1     ,mB    , 7.0,GUTE     ,UK    , 7.0,B&D      ,UK    , 7.0
   914136,GUTE     ,1912-08-17,19:11:48   ,  4.0000, 127.0000, 35.0,TRUE  ,PAS      ,MS    , 7.5,ABE1     ,mB    , 7.1,P&S      ,Ms    , 7.2,AN2      ,Ms    , 7.3,P&S      ,Mw    , 7.2,GUTE     ,UK    , 7.5
   914137,GUTE     ,1912-08-18,13:20:00   , -7.0000, 123.0000,650.0,      ,PAS      ,MS    , 6.5,
   914140,GUTE     ,1912-09-11,00:47:54   ,  5.0000,  96.5000,100.0,      ,PAS      ,MS    , 6.5,
   914149,GUTE     ,1912-12-23,23:56:12   ,  0.0000, 123.0000, 50.0,      ,PAS      ,MS    , 7.0,ABE1     ,mB    , 7.0,AN2      ,Ms    , 6.7,BJI      ,Ms    , 6.7,GUTE     ,UK    , 7.0
   914029,GUTE     ,1913-01-11,13:16:54   ,  1.5000, 122.0000, 35.0,TRUE  ,PAS      ,MS    , 7.1,ABE1     ,mB    , 7.1,AN1      ,Ms    , 7.2,P&S      ,Mw    , 7.2,GUTE     ,UK    , 7.1,B&D      ,UK    , 7.3
   914043,ISC      ,1913-03-14,08:45:04.31,  5.3544, 126.1209, 15.0,TRUE  ,ISC      ,MS    , 7.8,PAS      ,MS    , 7.9,ABE1     ,mB    , 7.7,AN1      ,Ms    , 7.9,P&S      ,Mw    , 7.9,GUTE     ,UK    , 7.9
   914089,GUTE     ,1913-08-13,04:25:42   , -5.5000, 105.0000, 75.0,      ,PAS      ,MS    , 7.2,ABE1     ,mB    , 7.3,GUTE     ,UK    , 7.2,B&D      ,UK    , 7.2
   913984,ISC      ,1914-05-26,14:22:47.68, -1.8292, 136.9430, 15.0,TRUE  ,ISC      ,MS    , 8.1,PAS      ,MS    , 7.9,ABE1     ,mB    , 7.3,AN1      ,Ms    , 8.0,P&S      ,Mw    , 7.9,GUTE     ,UK    , 7.9
   913990,ISC      ,1914-06-25,19:07:25.91, -3.9242, 101.8203, 35.0,TRUE  ,ISC      ,MS    , 7.6,PAS      ,MS    , 7.6,ABE1     ,mB    , 7.6,AN1      ,Ms    , 7.6,P&S      ,Mw    , 7.6,GUTE     ,UK    , 7.6,B&D      ,UK    , 8.1
   913994,GUTE     ,1914-07-04,23:38:54   , -5.5000, 129.0000,200.0,      ,PAS      ,MS    , 7.0,ABE1     ,mB    , 7.1,GUTE     ,UK    , 7.0,B&D      ,UK    , 7.0
   914002,GUTE     ,1914-08-06,04:10:42   , -6.0000, 123.0000,600.0,      ,PAS      ,MS    , 7.0,ABE1     ,mB    , 6.7,GUTE     ,UK    , 7.0,B&D      ,UK    , 7.0
   914014,ISC      ,1914-10-23,06:18:44.81,  4.2393, 128.1414, 35.0,TRUE  ,ISC      ,MS    , 7.5,P&S      ,Ms    , 7.5,AN1      ,Ms    , 7.6,P&S      ,Mw    , 7.6,B&D      ,UK    , 7.9
   913933,GUTE     ,1915-08-12,07:36:36   , -2.5000, 119.5000, 60.0,      ,PAS      ,MS    , 6.8,GUTE     ,UK    , 6.6
   913940,GUTE     ,1915-09-11,23:59:12   ,  5.5000, 123.5000,600.0,      ,PAS      ,MS    , 6.8,BJI      ,Ms    , 6.8,GUTE     ,UK    , 6.6
   913749,ISC      ,1916-01-13,06:18:35.47, -3.1959, 135.7312, 25.0,TRUE  ,ISC      ,MS    , 7.0,PAS      ,MS    , 7.5,ABE1     ,mB    , 7.6,AN1      ,Ms    , 7.5,P&S      ,Mw    , 7.3,GUTE     ,UK    , 7.5,B&D      ,UK    , 8.1
